## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
## Africa Sub-Saharan => Sub_Saharan_Africa
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Sub_Saharan_Africa,2006,Dep_J_A,2011,Valid visa,1793
Sub_Saharan_Africa,2006,Dep_J_A,2012,Expired,541
Sub_Saharan_Africa,2006,Dep_J_A,2012,Valid visa,1783
Sub_Saharan_Africa,2006,Dep_J_A,2013,Expired,558
Sub_Saharan_Africa,2006,Dep_J_A,2013,Valid visa,1766
Sub_Saharan_Africa,2006,Dep_J_A,2014,Expired,565
Sub_Saharan_Africa,2006,Dep_J_A,2014,Valid visa,1759
Sub_Saharan_Africa,2006,Dep_J_A,2015,Expired,579
Sub_Saharan_Africa,2006,Dep_J_A,2015,Valid visa,1745
Sub_Saharan_Africa,2006,Dep_J_A,2016,Expired,584
Sub_Saharan_Africa,2006,Dep_J_A,2016,Valid visa,1740
Sub_Saharan_Africa,2006,Dep_J_A,2017,Expired,589
Sub_Saharan_Africa,2006,Dep_J_A,2017,Valid visa,1735
Sub_Saharan_Africa,2006,Dep_J_A,2018,Expired,589
Sub_Saharan_Africa,2006,Dep_J_A,2018,Valid visa,1735
Sub_Saharan_Africa,2006,Dep_J_A,2019,Expired,591
Sub_Saharan_Africa,2006,Dep_J_A,2019,Valid visa,1733
Sub_Saharan_Africa,2006,Dep_J_A,2020,Expired,608
Sub_Saharan_Africa,2006,Dep_J_A,2020,Valid visa,1716
Sub_Saharan_Africa,2007,Dep_J_A,2007,Expired,16
Sub_Saharan_Africa,2007,Dep_J_A,2007,Valid visa,5036
Sub_Saharan_Africa,2007,Dep_J_A,2008,Expired,119
Sub_Saharan_Africa,2007,Dep_J_A,2008,Valid visa,4933
Sub_Saharan_Africa,2007,Dep_J_A,2009,Expired,582
Sub_Saharan_Africa,2007,Dep_J_A,2009,Valid visa,4470
Sub_Saharan_Africa,2007,Dep_J_A,2010,Expired,644
Sub_Saharan_Africa,2007,Dep_J_A,2010,Valid visa,4408
