## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Africa Sub-Saharan,2016,Study,2019,Valid visa,3989
Africa Sub-Saharan,2016,Study,2020,Expired,6501
Africa Sub-Saharan,2016,Study,2020,Valid visa,3032
Africa Sub-Saharan,2017,Study,2017,Expired,132
Africa Sub-Saharan,2017,Study,2017,Valid visa,9084
Africa Sub-Saharan,2017,Study,2018,Expired,1306
Africa Sub-Saharan,2017,Study,2018,Valid visa,7910
Africa Sub-Saharan,2017,Study,2019,Expired,4084
Africa Sub-Saharan,2017,Study,2019,Valid visa,5132
Africa Sub-Saharan,2017,Study,2020,Expired,5134
Africa Sub-Saharan,2017,Study,2020,Valid visa,4082
Africa Sub-Saharan,2018,Study,2018,Expired,79
Africa Sub-Saharan,2018,Study,2018,Valid visa,10680
Africa Sub-Saharan,2018,Study,2019,Expired,1140
Africa Sub-Saharan,2018,Study,2019,Valid visa,9619
Africa Sub-Saharan,2018,Study,2020,Expired,4609
Africa Sub-Saharan,2018,Study,2020,Valid visa,6150
Africa Sub-Saharan,2019,Study,2019,Expired,81
Africa Sub-Saharan,2019,Study,2019,Valid visa,12638
Africa Sub-Saharan,2019,Study,2020,Expired,1374
Africa Sub-Saharan,2019,Study,2020,Valid visa,11345
Africa Sub-Saharan,2020,Study,2020,Expired,140
Africa Sub-Saharan,2020,Study,2020,Valid visa,16132
Africa Sub-Saharan,2004,Work,2004,Expired,392
Africa Sub-Saharan,2004,Work,2004,Valid visa,42714
Africa Sub-Saharan,2004,Work,2005,Expired,1997
Africa Sub-Saharan,2004,Work,2005,Valid visa,41109
Africa Sub-Saharan,2004,Work,2006,Expired,23798
Africa Sub-Saharan,2004,Work,2006,Valid visa,19308
Africa Sub-Saharan,2004,Work,2007,Expired,24995
Africa Sub-Saharan,2004,Work,2007,Valid visa,18111
Africa Sub-Saharan,2004,Work,2008,Expired,26847
Africa Sub-Saharan,2004,Work,2008,Valid visa,16259
Africa Sub-Saharan,2004,Work,2009,Expired,27910
Africa Sub-Saharan,2004,Work,2009,Valid visa,15196
Africa Sub-Saharan,2004,Work,2010,Expired,28435
Africa Sub-Saharan,2004,Work,2010,Valid visa,14671
Africa Sub-Saharan,2004,Work,2011,Expired,29189
Africa Sub-Saharan,2004,Work,2011,Valid visa,13917
Africa Sub-Saharan,2004,Work,2012,Expired,29491
Africa Sub-Saharan,2004,Work,2012,Valid visa,13615
Africa Sub-Saharan,2004,Work,2013,Expired,29752
Africa Sub-Saharan,2004,Work,2013,Valid visa,13354
Africa Sub-Saharan,2004,Work,2014,Expired,29821
Africa Sub-Saharan,2004,Work,2014,Valid visa,13285
Africa Sub-Saharan,2004,Work,2015,Expired,29857
Africa Sub-Saharan,2004,Work,2015,Valid visa,13249
Africa Sub-Saharan,2004,Work,2016,Expired,29890
Africa Sub-Saharan,2004,Work,2016,Valid visa,13216
Africa Sub-Saharan,2004,Work,2017,Expired,29911
Africa Sub-Saharan,2004,Work,2017,Valid visa,13195
Africa Sub-Saharan,2004,Work,2018,Expired,29944
Africa Sub-Saharan,2004,Work,2018,Valid visa,13162
Africa Sub-Saharan,2004,Work,2019,Expired,29972
Africa Sub-Saharan,2004,Work,2019,Valid visa,13134
Africa Sub-Saharan,2004,Work,2020,Expired,30057
Africa Sub-Saharan,2004,Work,2020,Valid visa,13049
Africa Sub-Saharan,2005,Work,2005,Expired,1115
Africa Sub-Saharan,2005,Work,2005,Valid visa,37569
Africa Sub-Saharan,2005,Work,2006,Expired,2673
Africa Sub-Saharan,2005,Work,2006,Valid visa,36011
Africa Sub-Saharan,2005,Work,2007,Expired,21439
Africa Sub-Saharan,2005,Work,2007,Valid visa,17245
Africa Sub-Saharan,2005,Work,2008,Expired,22116
Africa Sub-Saharan,2005,Work,2008,Valid visa,16568
Africa Sub-Saharan,2005,Work,2009,Expired,23696
Africa Sub-Saharan,2005,Work,2009,Valid visa,14988
Africa Sub-Saharan,2005,Work,2010,Expired,24916
Africa Sub-Saharan,2005,Work,2010,Valid visa,13768
Africa Sub-Saharan,2005,Work,2011,Expired,25368
Africa Sub-Saharan,2005,Work,2011,Valid visa,13316
Africa Sub-Saharan,2005,Work,2012,Expired,25877
Africa Sub-Saharan,2005,Work,2012,Valid visa,12807
Africa Sub-Saharan,2005,Work,2013,Expired,26086
Africa Sub-Saharan,2005,Work,2013,Valid visa,12598
Africa Sub-Saharan,2005,Work,2014,Expired,26282
Africa Sub-Saharan,2005,Work,2014,Valid visa,12402
Africa Sub-Saharan,2005,Work,2015,Expired,26343
Africa Sub-Saharan,2005,Work,2015,Valid visa,12341
Africa Sub-Saharan,2005,Work,2016,Expired,26367
Africa Sub-Saharan,2005,Work,2016,Valid visa,12317
Africa Sub-Saharan,2005,Work,2017,Expired,26389
Africa Sub-Saharan,2005,Work,2017,Valid visa,12295
Africa Sub-Saharan,2005,Work,2018,Expired,26410
Africa Sub-Saharan,2005,Work,2018,Valid visa,12274
Africa Sub-Saharan,2005,Work,2019,Expired,26450
Africa Sub-Saharan,2005,Work,2019,Valid visa,12234
Africa Sub-Saharan,2005,Work,2020,Expired,26542
Africa Sub-Saharan,2005,Work,2020,Valid visa,12142
Africa Sub-Saharan,2006,Work,2006,Expired,877
Africa Sub-Saharan,2006,Work,2006,Valid visa,26254
Africa Sub-Saharan,2006,Work,2007,Expired,2514
Africa Sub-Saharan,2006,Work,2007,Valid visa,24617
Africa Sub-Saharan,2006,Work,2008,Expired,13338
Africa Sub-Saharan,2006,Work,2008,Valid visa,13793
Africa Sub-Saharan,2006,Work,2009,Expired,13833
Africa Sub-Saharan,2006,Work,2009,Valid visa,13298
Africa Sub-Saharan,2006,Work,2010,Expired,14579
Africa Sub-Saharan,2006,Work,2010,Valid visa,12552
Africa Sub-Saharan,2006,Work,2011,Expired,15947
Africa Sub-Saharan,2006,Work,2011,Valid visa,11184
Africa Sub-Saharan,2006,Work,2012,Expired,16363
Africa Sub-Saharan,2006,Work,2012,Valid visa,10768
Africa Sub-Saharan,2006,Work,2013,Expired,16616
Africa Sub-Saharan,2006,Work,2013,Valid visa,10515
Africa Sub-Saharan,2006,Work,2014,Expired,16718
Africa Sub-Saharan,2006,Work,2014,Valid visa,10413
Africa Sub-Saharan,2006,Work,2015,Expired,16805
Africa Sub-Saharan,2006,Work,2015,Valid visa,10326
Africa Sub-Saharan,2006,Work,2016,Expired,16853
Africa Sub-Saharan,2006,Work,2016,Valid visa,10278
Africa Sub-Saharan,2006,Work,2017,Expired,16868
Africa Sub-Saharan,2006,Work,2017,Valid visa,10263
Africa Sub-Saharan,2006,Work,2018,Expired,16896
Africa Sub-Saharan,2006,Work,2018,Valid visa,10235
Africa Sub-Saharan,2006,Work,2019,Expired,16917
Africa Sub-Saharan,2006,Work,2019,Valid visa,10214
Africa Sub-Saharan,2006,Work,2020,Expired,16973
Africa Sub-Saharan,2006,Work,2020,Valid visa,10158
Africa Sub-Saharan,2007,Work,2007,Expired,1016
Africa Sub-Saharan,2007,Work,2007,Valid visa,19437
Africa Sub-Saharan,2007,Work,2008,Expired,2304
Africa Sub-Saharan,2007,Work,2008,Valid visa,18149
Africa Sub-Saharan,2007,Work,2009,Expired,10169
Africa Sub-Saharan,2007,Work,2009,Valid visa,10284
Africa Sub-Saharan,2007,Work,2010,Expired,10547
Africa Sub-Saharan,2007,Work,2010,Valid visa,9906
Africa Sub-Saharan,2007,Work,2011,Expired,10963
Africa Sub-Saharan,2007,Work,2011,Valid visa,9490
Africa Sub-Saharan,2007,Work,2012,Expired,12576
Africa Sub-Saharan,2007,Work,2012,Valid visa,7877
Africa Sub-Saharan,2007,Work,2013,Expired,12913
Africa Sub-Saharan,2007,Work,2013,Valid visa,7540
Africa Sub-Saharan,2007,Work,2014,Expired,13001
Africa Sub-Saharan,2007,Work,2014,Valid visa,7452
Africa Sub-Saharan,2007,Work,2015,Expired,13063
Africa Sub-Saharan,2007,Work,2015,Valid visa,7390
Africa Sub-Saharan,2007,Work,2016,Expired,13091
Africa Sub-Saharan,2007,Work,2016,Valid visa,7362
Africa Sub-Saharan,2007,Work,2017,Expired,13139
Africa Sub-Saharan,2007,Work,2017,Valid visa,7314
Africa Sub-Saharan,2007,Work,2018,Expired,13167
Africa Sub-Saharan,2007,Work,2018,Valid visa,7286
Africa Sub-Saharan,2007,Work,2019,Expired,13181
Africa Sub-Saharan,2007,Work,2019,Valid visa,7272
Africa Sub-Saharan,2007,Work,2020,Expired,13235
Africa Sub-Saharan,2007,Work,2020,Valid visa,7218
Africa Sub-Saharan,2008,Work,2008,Expired,916
Africa Sub-Saharan,2008,Work,2008,Valid visa,17920
Africa Sub-Saharan,2008,Work,2009,Expired,2027
Africa Sub-Saharan,2008,Work,2009,Valid visa,16809
Africa Sub-Saharan,2008,Work,2010,Expired,9968
Africa Sub-Saharan,2008,Work,2010,Valid visa,8868
Africa Sub-Saharan,2008,Work,2011,Expired,10516
Africa Sub-Saharan,2008,Work,2011,Valid visa,8320
Africa Sub-Saharan,2008,Work,2012,Expired,10970
Africa Sub-Saharan,2008,Work,2012,Valid visa,7866
Africa Sub-Saharan,2008,Work,2013,Expired,12386
Africa Sub-Saharan,2008,Work,2013,Valid visa,6450
Africa Sub-Saharan,2008,Work,2014,Expired,12518
Africa Sub-Saharan,2008,Work,2014,Valid visa,6318
Africa Sub-Saharan,2008,Work,2015,Expired,12584
Africa Sub-Saharan,2008,Work,2015,Valid visa,6252
Africa Sub-Saharan,2008,Work,2016,Expired,12635
Africa Sub-Saharan,2008,Work,2016,Valid visa,6201
Africa Sub-Saharan,2008,Work,2017,Expired,12661
Africa Sub-Saharan,2008,Work,2017,Valid visa,6175
Africa Sub-Saharan,2008,Work,2018,Expired,12720
Africa Sub-Saharan,2008,Work,2018,Valid visa,6116
Africa Sub-Saharan,2008,Work,2019,Expired,12745
Africa Sub-Saharan,2008,Work,2019,Valid visa,6091
Africa Sub-Saharan,2008,Work,2020,Expired,12789
Africa Sub-Saharan,2008,Work,2020,Valid visa,6047
Africa Sub-Saharan,2009,Work,2009,Expired,818
Africa Sub-Saharan,2009,Work,2009,Valid visa,10054
Africa Sub-Saharan,2009,Work,2010,Expired,1679
Africa Sub-Saharan,2009,Work,2010,Valid visa,9193
Africa Sub-Saharan,2009,Work,2011,Expired,3656
Africa Sub-Saharan,2009,Work,2011,Valid visa,7216
Africa Sub-Saharan,2009,Work,2012,Expired,4845
Africa Sub-Saharan,2009,Work,2012,Valid visa,6027
Africa Sub-Saharan,2009,Work,2013,Expired,5084
Africa Sub-Saharan,2009,Work,2013,Valid visa,5788
Africa Sub-Saharan,2009,Work,2014,Expired,5750
Africa Sub-Saharan,2009,Work,2014,Valid visa,5122
Africa Sub-Saharan,2009,Work,2015,Expired,5820
Africa Sub-Saharan,2009,Work,2015,Valid visa,5052
Africa Sub-Saharan,2009,Work,2016,Expired,5872
Africa Sub-Saharan,2009,Work,2016,Valid visa,5000
Africa Sub-Saharan,2009,Work,2017,Expired,5906
Africa Sub-Saharan,2009,Work,2017,Valid visa,4966
Africa Sub-Saharan,2009,Work,2018,Expired,5925
Africa Sub-Saharan,2009,Work,2018,Valid visa,4947
Africa Sub-Saharan,2009,Work,2019,Expired,5972
Africa Sub-Saharan,2009,Work,2019,Valid visa,4900
Africa Sub-Saharan,2009,Work,2020,Expired,6037
Africa Sub-Saharan,2009,Work,2020,Valid visa,4835
Africa Sub-Saharan,2010,Work,2010,Expired,851
Africa Sub-Saharan,2010,Work,2010,Valid visa,7074
Africa Sub-Saharan,2010,Work,2011,Expired,1832
Africa Sub-Saharan,2010,Work,2011,Valid visa,6093
Africa Sub-Saharan,2010,Work,2012,Expired,2656
Africa Sub-Saharan,2010,Work,2012,Valid visa,5269
Africa Sub-Saharan,2010,Work,2013,Expired,3239
Africa Sub-Saharan,2010,Work,2013,Valid visa,4686
Africa Sub-Saharan,2010,Work,2014,Expired,3388
Africa Sub-Saharan,2010,Work,2014,Valid visa,4537
Africa Sub-Saharan,2010,Work,2015,Expired,3964
Africa Sub-Saharan,2010,Work,2015,Valid visa,3961
Africa Sub-Saharan,2010,Work,2016,Expired,4066
Africa Sub-Saharan,2010,Work,2016,Valid visa,3859
Africa Sub-Saharan,2010,Work,2017,Expired,4104
Africa Sub-Saharan,2010,Work,2017,Valid visa,3821
Africa Sub-Saharan,2010,Work,2018,Expired,4145
Africa Sub-Saharan,2010,Work,2018,Valid visa,3780
Africa Sub-Saharan,2010,Work,2019,Expired,4176
Africa Sub-Saharan,2010,Work,2019,Valid visa,3749
Africa Sub-Saharan,2010,Work,2020,Expired,4254
Africa Sub-Saharan,2010,Work,2020,Valid visa,3671
Africa Sub-Saharan,2011,Work,2011,Expired,993
Africa Sub-Saharan,2011,Work,2011,Valid visa,5404
Africa Sub-Saharan,2011,Work,2012,Expired,2103
Africa Sub-Saharan,2011,Work,2012,Valid visa,4294
Africa Sub-Saharan,2011,Work,2013,Expired,2734
Africa Sub-Saharan,2011,Work,2013,Valid visa,3663
Africa Sub-Saharan,2011,Work,2014,Expired,3082
Africa Sub-Saharan,2011,Work,2014,Valid visa,3315
Africa Sub-Saharan,2011,Work,2015,Expired,3221
Africa Sub-Saharan,2011,Work,2015,Valid visa,3176
Africa Sub-Saharan,2011,Work,2016,Expired,3734
Africa Sub-Saharan,2011,Work,2016,Valid visa,2663
Africa Sub-Saharan,2011,Work,2017,Expired,3802
Africa Sub-Saharan,2011,Work,2017,Valid visa,2595
Africa Sub-Saharan,2011,Work,2018,Expired,3841
Africa Sub-Saharan,2011,Work,2018,Valid visa,2556
Africa Sub-Saharan,2011,Work,2019,Expired,3870
Africa Sub-Saharan,2011,Work,2019,Valid visa,2527
Africa Sub-Saharan,2011,Work,2020,Expired,3953
Africa Sub-Saharan,2011,Work,2020,Valid visa,2444
Africa Sub-Saharan,2012,Work,2012,Expired,1469
Africa Sub-Saharan,2012,Work,2012,Valid visa,4769
Africa Sub-Saharan,2012,Work,2013,Expired,2576
Africa Sub-Saharan,2012,Work,2013,Valid visa,3662
Africa Sub-Saharan,2012,Work,2014,Expired,3020
Africa Sub-Saharan,2012,Work,2014,Valid visa,3218
Africa Sub-Saharan,2012,Work,2015,Expired,3463
Africa Sub-Saharan,2012,Work,2015,Valid visa,2775
Africa Sub-Saharan,2012,Work,2016,Expired,3599
Africa Sub-Saharan,2012,Work,2016,Valid visa,2639
Africa Sub-Saharan,2012,Work,2017,Expired,3980
Africa Sub-Saharan,2012,Work,2017,Valid visa,2258
Africa Sub-Saharan,2012,Work,2018,Expired,4039
Africa Sub-Saharan,2012,Work,2018,Valid visa,2199
Africa Sub-Saharan,2012,Work,2019,Expired,4069
Africa Sub-Saharan,2012,Work,2019,Valid visa,2169
Africa Sub-Saharan,2012,Work,2020,Expired,4150
Africa Sub-Saharan,2012,Work,2020,Valid visa,2088
Africa Sub-Saharan,2013,Work,2013,Expired,1213
Africa Sub-Saharan,2013,Work,2013,Valid visa,4642
Africa Sub-Saharan,2013,Work,2014,Expired,2249
Africa Sub-Saharan,2013,Work,2014,Valid visa,3606
Africa Sub-Saharan,2013,Work,2015,Expired,2710
Africa Sub-Saharan,2013,Work,2015,Valid visa,3145
Africa Sub-Saharan,2013,Work,2016,Expired,3103
Africa Sub-Saharan,2013,Work,2016,Valid visa,2752
Africa Sub-Saharan,2013,Work,2017,Expired,3229
Africa Sub-Saharan,2013,Work,2017,Valid visa,2626
Africa Sub-Saharan,2013,Work,2018,Expired,3591
Africa Sub-Saharan,2013,Work,2018,Valid visa,2264
Africa Sub-Saharan,2013,Work,2019,Expired,3676
Africa Sub-Saharan,2013,Work,2019,Valid visa,2179
Africa Sub-Saharan,2013,Work,2020,Expired,3762
Africa Sub-Saharan,2013,Work,2020,Valid visa,2093
Africa Sub-Saharan,2014,Work,2014,Expired,1429
Africa Sub-Saharan,2014,Work,2014,Valid visa,4697
Africa Sub-Saharan,2014,Work,2015,Expired,2393
Africa Sub-Saharan,2014,Work,2015,Valid visa,3733
Africa Sub-Saharan,2014,Work,2016,Expired,2905
Africa Sub-Saharan,2014,Work,2016,Valid visa,3221
Africa Sub-Saharan,2014,Work,2017,Expired,3318
Africa Sub-Saharan,2014,Work,2017,Valid visa,2808
Africa Sub-Saharan,2014,Work,2018,Expired,3439
Africa Sub-Saharan,2014,Work,2018,Valid visa,2687
Africa Sub-Saharan,2014,Work,2019,Expired,3909
Africa Sub-Saharan,2014,Work,2019,Valid visa,2217
Africa Sub-Saharan,2014,Work,2020,Expired,4030
Africa Sub-Saharan,2014,Work,2020,Valid visa,2096
Africa Sub-Saharan,2015,Work,2015,Expired,965
Africa Sub-Saharan,2015,Work,2015,Valid visa,4956
Africa Sub-Saharan,2015,Work,2016,Expired,1755
Africa Sub-Saharan,2015,Work,2016,Valid visa,4166
Africa Sub-Saharan,2015,Work,2017,Expired,2139
Africa Sub-Saharan,2015,Work,2017,Valid visa,3782
Africa Sub-Saharan,2015,Work,2018,Expired,2608
Africa Sub-Saharan,2015,Work,2018,Valid visa,3313
Africa Sub-Saharan,2015,Work,2019,Expired,2779
Africa Sub-Saharan,2015,Work,2019,Valid visa,3142
Africa Sub-Saharan,2015,Work,2020,Expired,3406
Africa Sub-Saharan,2015,Work,2020,Valid visa,2515
Africa Sub-Saharan,2016,Work,2016,Expired,907
Africa Sub-Saharan,2016,Work,2016,Valid visa,5354
Africa Sub-Saharan,2016,Work,2017,Expired,1567
Africa Sub-Saharan,2016,Work,2017,Valid visa,4694
Africa Sub-Saharan,2016,Work,2018,Expired,1944
Africa Sub-Saharan,2016,Work,2018,Valid visa,4317
Africa Sub-Saharan,2016,Work,2019,Expired,2392
Africa Sub-Saharan,2016,Work,2019,Valid visa,3869
Africa Sub-Saharan,2016,Work,2020,Expired,2599
Africa Sub-Saharan,2016,Work,2020,Valid visa,3662
Africa Sub-Saharan,2017,Work,2017,Expired,866
Africa Sub-Saharan,2017,Work,2017,Valid visa,6011
Africa Sub-Saharan,2017,Work,2018,Expired,1629
Africa Sub-Saharan,2017,Work,2018,Valid visa,5248
Africa Sub-Saharan,2017,Work,2019,Expired,2056
Africa Sub-Saharan,2017,Work,2019,Valid visa,4821
Africa Sub-Saharan,2017,Work,2020,Expired,2614
Africa Sub-Saharan,2017,Work,2020,Valid visa,4263
Africa Sub-Saharan,2018,Work,2018,Expired,996
Africa Sub-Saharan,2018,Work,2018,Valid visa,8316
Africa Sub-Saharan,2018,Work,2019,Expired,1919
Africa Sub-Saharan,2018,Work,2019,Valid visa,7393
Africa Sub-Saharan,2018,Work,2020,Expired,2559
Africa Sub-Saharan,2018,Work,2020,Valid visa,6753
Africa Sub-Saharan,2019,Work,2019,Expired,1196
Africa Sub-Saharan,2019,Work,2019,Valid visa,11239
Africa Sub-Saharan,2019,Work,2020,Expired,2543
Africa Sub-Saharan,2019,Work,2020,Valid visa,9892
Africa Sub-Saharan,2020,Work,2020,Expired,498
Africa Sub-Saharan,2020,Work,2020,Valid visa,11075
Bangladesh,2004,Dep_J_A,2004,Expired,0
Bangladesh,2004,Dep_J_A,2004,Valid visa,423
Bangladesh,2004,Dep_J_A,2005,Expired,26
Bangladesh,2004,Dep_J_A,2005,Valid visa,397
Bangladesh,2004,Dep_J_A,2006,Expired,46
Bangladesh,2004,Dep_J_A,2006,Valid visa,377
Bangladesh,2004,Dep_J_A,2007,Expired,48
Bangladesh,2004,Dep_J_A,2007,Valid visa,375
Bangladesh,2004,Dep_J_A,2008,Expired,48
Bangladesh,2004,Dep_J_A,2008,Valid visa,375
Bangladesh,2004,Dep_J_A,2009,Expired,48
Bangladesh,2004,Dep_J_A,2009,Valid visa,375
Bangladesh,2004,Dep_J_A,2010,Expired,50
Bangladesh,2004,Dep_J_A,2010,Valid visa,373
Bangladesh,2004,Dep_J_A,2011,Expired,50
Bangladesh,2004,Dep_J_A,2011,Valid visa,373
Bangladesh,2004,Dep_J_A,2012,Expired,51
Bangladesh,2004,Dep_J_A,2012,Valid visa,372
Bangladesh,2004,Dep_J_A,2013,Expired,51
Bangladesh,2004,Dep_J_A,2013,Valid visa,372
Bangladesh,2004,Dep_J_A,2014,Expired,54
Bangladesh,2004,Dep_J_A,2014,Valid visa,369
Bangladesh,2004,Dep_J_A,2015,Expired,54
Bangladesh,2004,Dep_J_A,2015,Valid visa,369
Bangladesh,2004,Dep_J_A,2016,Expired,54
Bangladesh,2004,Dep_J_A,2016,Valid visa,369
Bangladesh,2004,Dep_J_A,2017,Expired,54
Bangladesh,2004,Dep_J_A,2017,Valid visa,369
Bangladesh,2004,Dep_J_A,2018,Expired,54
Bangladesh,2004,Dep_J_A,2018,Valid visa,369
Bangladesh,2004,Dep_J_A,2019,Expired,54
Bangladesh,2004,Dep_J_A,2019,Valid visa,369
Bangladesh,2004,Dep_J_A,2020,Expired,55
Bangladesh,2004,Dep_J_A,2020,Valid visa,368
Bangladesh,2005,Dep_J_A,2005,Expired,2
Bangladesh,2005,Dep_J_A,2005,Valid visa,772
Bangladesh,2005,Dep_J_A,2006,Expired,27
Bangladesh,2005,Dep_J_A,2006,Valid visa,747
Bangladesh,2005,Dep_J_A,2007,Expired,61
Bangladesh,2005,Dep_J_A,2007,Valid visa,713
Bangladesh,2005,Dep_J_A,2008,Expired,67
Bangladesh,2005,Dep_J_A,2008,Valid visa,707
Bangladesh,2005,Dep_J_A,2009,Expired,74
Bangladesh,2005,Dep_J_A,2009,Valid visa,700
Bangladesh,2005,Dep_J_A,2010,Expired,76
Bangladesh,2005,Dep_J_A,2010,Valid visa,698
Bangladesh,2005,Dep_J_A,2011,Expired,77
Bangladesh,2005,Dep_J_A,2011,Valid visa,697
Bangladesh,2005,Dep_J_A,2012,Expired,80
Bangladesh,2005,Dep_J_A,2012,Valid visa,694
Bangladesh,2005,Dep_J_A,2013,Expired,82
Bangladesh,2005,Dep_J_A,2013,Valid visa,692
Bangladesh,2005,Dep_J_A,2014,Expired,82
Bangladesh,2005,Dep_J_A,2014,Valid visa,692
Bangladesh,2005,Dep_J_A,2015,Expired,82
Bangladesh,2005,Dep_J_A,2015,Valid visa,692
Bangladesh,2005,Dep_J_A,2016,Expired,83
Bangladesh,2005,Dep_J_A,2016,Valid visa,691
Bangladesh,2005,Dep_J_A,2017,Expired,83
Bangladesh,2005,Dep_J_A,2017,Valid visa,691
Bangladesh,2005,Dep_J_A,2018,Expired,83
Bangladesh,2005,Dep_J_A,2018,Valid visa,691
Bangladesh,2005,Dep_J_A,2019,Expired,83
Bangladesh,2005,Dep_J_A,2019,Valid visa,691
Bangladesh,2005,Dep_J_A,2020,Expired,85
Bangladesh,2005,Dep_J_A,2020,Valid visa,689
Bangladesh,2006,Dep_J_A,2006,Expired,0
Bangladesh,2006,Dep_J_A,2006,Valid visa,690
Bangladesh,2006,Dep_J_A,2007,Expired,3
Bangladesh,2006,Dep_J_A,2007,Valid visa,687
Bangladesh,2006,Dep_J_A,2008,Expired,44
Bangladesh,2006,Dep_J_A,2008,Valid visa,646
Bangladesh,2006,Dep_J_A,2009,Expired,49
Bangladesh,2006,Dep_J_A,2009,Valid visa,641
Bangladesh,2006,Dep_J_A,2010,Expired,50
Bangladesh,2006,Dep_J_A,2010,Valid visa,640
Bangladesh,2006,Dep_J_A,2011,Expired,52
Bangladesh,2006,Dep_J_A,2011,Valid visa,638
Bangladesh,2006,Dep_J_A,2012,Expired,53
Bangladesh,2006,Dep_J_A,2012,Valid visa,637
Bangladesh,2006,Dep_J_A,2013,Expired,53
Bangladesh,2006,Dep_J_A,2013,Valid visa,637
Bangladesh,2006,Dep_J_A,2014,Expired,53
Bangladesh,2006,Dep_J_A,2014,Valid visa,637
Bangladesh,2006,Dep_J_A,2015,Expired,54
Bangladesh,2006,Dep_J_A,2015,Valid visa,636
Bangladesh,2006,Dep_J_A,2016,Expired,54
Bangladesh,2006,Dep_J_A,2016,Valid visa,636
Bangladesh,2006,Dep_J_A,2017,Expired,56
Bangladesh,2006,Dep_J_A,2017,Valid visa,634
Bangladesh,2006,Dep_J_A,2018,Expired,56
Bangladesh,2006,Dep_J_A,2018,Valid visa,634
Bangladesh,2006,Dep_J_A,2019,Expired,56
Bangladesh,2006,Dep_J_A,2019,Valid visa,634
Bangladesh,2006,Dep_J_A,2020,Expired,57
Bangladesh,2006,Dep_J_A,2020,Valid visa,633
Bangladesh,2007,Dep_J_A,2007,Expired,0
Bangladesh,2007,Dep_J_A,2007,Valid visa,461
Bangladesh,2007,Dep_J_A,2008,Expired,2
Bangladesh,2007,Dep_J_A,2008,Valid visa,459
Bangladesh,2007,Dep_J_A,2009,Expired,21
Bangladesh,2007,Dep_J_A,2009,Valid visa,440
Bangladesh,2007,Dep_J_A,2010,Expired,26
Bangladesh,2007,Dep_J_A,2010,Valid visa,435
Bangladesh,2007,Dep_J_A,2011,Expired,30
Bangladesh,2007,Dep_J_A,2011,Valid visa,431
Bangladesh,2007,Dep_J_A,2012,Expired,33
Bangladesh,2007,Dep_J_A,2012,Valid visa,428
Bangladesh,2007,Dep_J_A,2013,Expired,34
Bangladesh,2007,Dep_J_A,2013,Valid visa,427
Bangladesh,2007,Dep_J_A,2014,Expired,34
Bangladesh,2007,Dep_J_A,2014,Valid visa,427
Bangladesh,2007,Dep_J_A,2015,Expired,37
Bangladesh,2007,Dep_J_A,2015,Valid visa,424
Bangladesh,2007,Dep_J_A,2016,Expired,37
Bangladesh,2007,Dep_J_A,2016,Valid visa,424
Bangladesh,2007,Dep_J_A,2017,Expired,38
Bangladesh,2007,Dep_J_A,2017,Valid visa,423
Bangladesh,2007,Dep_J_A,2018,Expired,38
Bangladesh,2007,Dep_J_A,2018,Valid visa,423
Bangladesh,2007,Dep_J_A,2019,Expired,38
Bangladesh,2007,Dep_J_A,2019,Valid visa,423
Bangladesh,2007,Dep_J_A,2020,Expired,38
Bangladesh,2007,Dep_J_A,2020,Valid visa,423
Bangladesh,2008,Dep_J_A,2008,Expired,3
Bangladesh,2008,Dep_J_A,2008,Valid visa,551
Bangladesh,2008,Dep_J_A,2009,Expired,16
Bangladesh,2008,Dep_J_A,2009,Valid visa,538
Bangladesh,2008,Dep_J_A,2010,Expired,45
Bangladesh,2008,Dep_J_A,2010,Valid visa,509
Bangladesh,2008,Dep_J_A,2011,Expired,58
Bangladesh,2008,Dep_J_A,2011,Valid visa,496
Bangladesh,2008,Dep_J_A,2012,Expired,59
Bangladesh,2008,Dep_J_A,2012,Valid visa,495
Bangladesh,2008,Dep_J_A,2013,Expired,59
Bangladesh,2008,Dep_J_A,2013,Valid visa,495
Bangladesh,2008,Dep_J_A,2014,Expired,60
Bangladesh,2008,Dep_J_A,2014,Valid visa,494
Bangladesh,2008,Dep_J_A,2015,Expired,60
Bangladesh,2008,Dep_J_A,2015,Valid visa,494
Bangladesh,2008,Dep_J_A,2016,Expired,61
Bangladesh,2008,Dep_J_A,2016,Valid visa,493
Bangladesh,2008,Dep_J_A,2017,Expired,61
Bangladesh,2008,Dep_J_A,2017,Valid visa,493
Bangladesh,2008,Dep_J_A,2018,Expired,64
Bangladesh,2008,Dep_J_A,2018,Valid visa,490
Bangladesh,2008,Dep_J_A,2019,Expired,64
Bangladesh,2008,Dep_J_A,2019,Valid visa,490
Bangladesh,2008,Dep_J_A,2020,Expired,64
Bangladesh,2008,Dep_J_A,2020,Valid visa,490
Bangladesh,2009,Dep_J_A,2009,Expired,2
Bangladesh,2009,Dep_J_A,2009,Valid visa,509
Bangladesh,2009,Dep_J_A,2010,Expired,9
Bangladesh,2009,Dep_J_A,2010,Valid visa,502
Bangladesh,2009,Dep_J_A,2011,Expired,19
Bangladesh,2009,Dep_J_A,2011,Valid visa,492
