## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Africa Sub-Saharan,2006,Dep_J_A,2013,Expired,558
Africa Sub-Saharan,2006,Dep_J_A,2013,Valid visa,1766
Africa Sub-Saharan,2006,Dep_J_A,2014,Expired,565
Africa Sub-Saharan,2006,Dep_J_A,2014,Valid visa,1759
Africa Sub-Saharan,2006,Dep_J_A,2015,Expired,579
Africa Sub-Saharan,2006,Dep_J_A,2015,Valid visa,1745
Africa Sub-Saharan,2006,Dep_J_A,2016,Expired,584
Africa Sub-Saharan,2006,Dep_J_A,2016,Valid visa,1740
Africa Sub-Saharan,2006,Dep_J_A,2017,Expired,589
Africa Sub-Saharan,2006,Dep_J_A,2017,Valid visa,1735
Africa Sub-Saharan,2006,Dep_J_A,2018,Expired,589
Africa Sub-Saharan,2006,Dep_J_A,2018,Valid visa,1735
Africa Sub-Saharan,2006,Dep_J_A,2019,Expired,591
Africa Sub-Saharan,2006,Dep_J_A,2019,Valid visa,1733
Africa Sub-Saharan,2006,Dep_J_A,2020,Expired,608
Africa Sub-Saharan,2006,Dep_J_A,2020,Valid visa,1716
Africa Sub-Saharan,2007,Dep_J_A,2007,Expired,16
Africa Sub-Saharan,2007,Dep_J_A,2007,Valid visa,5036
Africa Sub-Saharan,2007,Dep_J_A,2008,Expired,119
Africa Sub-Saharan,2007,Dep_J_A,2008,Valid visa,4933
Africa Sub-Saharan,2007,Dep_J_A,2009,Expired,582
Africa Sub-Saharan,2007,Dep_J_A,2009,Valid visa,4470
Africa Sub-Saharan,2007,Dep_J_A,2010,Expired,644
Africa Sub-Saharan,2007,Dep_J_A,2010,Valid visa,4408
Africa Sub-Saharan,2007,Dep_J_A,2011,Expired,746
Africa Sub-Saharan,2007,Dep_J_A,2011,Valid visa,4306
Africa Sub-Saharan,2007,Dep_J_A,2012,Expired,953
Africa Sub-Saharan,2007,Dep_J_A,2012,Valid visa,4099
Africa Sub-Saharan,2007,Dep_J_A,2013,Expired,984
Africa Sub-Saharan,2007,Dep_J_A,2013,Valid visa,4068
Africa Sub-Saharan,2007,Dep_J_A,2014,Expired,1005
Africa Sub-Saharan,2007,Dep_J_A,2014,Valid visa,4047
Africa Sub-Saharan,2007,Dep_J_A,2015,Expired,1013
Africa Sub-Saharan,2007,Dep_J_A,2015,Valid visa,4039
Africa Sub-Saharan,2007,Dep_J_A,2016,Expired,1022
Africa Sub-Saharan,2007,Dep_J_A,2016,Valid visa,4030
Africa Sub-Saharan,2007,Dep_J_A,2017,Expired,1030
Africa Sub-Saharan,2007,Dep_J_A,2017,Valid visa,4022
Africa Sub-Saharan,2007,Dep_J_A,2018,Expired,1033
Africa Sub-Saharan,2007,Dep_J_A,2018,Valid visa,4019
Africa Sub-Saharan,2007,Dep_J_A,2019,Expired,1033
Africa Sub-Saharan,2007,Dep_J_A,2019,Valid visa,4019
Africa Sub-Saharan,2007,Dep_J_A,2020,Expired,1067
Africa Sub-Saharan,2007,Dep_J_A,2020,Valid visa,3985
Africa Sub-Saharan,2008,Dep_J_A,2008,Expired,16
Africa Sub-Saharan,2008,Dep_J_A,2008,Valid visa,5421
Africa Sub-Saharan,2008,Dep_J_A,2009,Expired,173
Africa Sub-Saharan,2008,Dep_J_A,2009,Valid visa,5264
Africa Sub-Saharan,2008,Dep_J_A,2010,Expired,599
Africa Sub-Saharan,2008,Dep_J_A,2010,Valid visa,4838
Africa Sub-Saharan,2008,Dep_J_A,2011,Expired,738
Africa Sub-Saharan,2008,Dep_J_A,2011,Valid visa,4699
Africa Sub-Saharan,2008,Dep_J_A,2012,Expired,882
Africa Sub-Saharan,2008,Dep_J_A,2012,Valid visa,4555
Africa Sub-Saharan,2008,Dep_J_A,2013,Expired,1207
Africa Sub-Saharan,2008,Dep_J_A,2013,Valid visa,4230
Africa Sub-Saharan,2008,Dep_J_A,2014,Expired,1232
Africa Sub-Saharan,2008,Dep_J_A,2014,Valid visa,4205
Africa Sub-Saharan,2008,Dep_J_A,2015,Expired,1245
Africa Sub-Saharan,2008,Dep_J_A,2015,Valid visa,4192
Africa Sub-Saharan,2008,Dep_J_A,2016,Expired,1257
Africa Sub-Saharan,2008,Dep_J_A,2016,Valid visa,4180
Africa Sub-Saharan,2008,Dep_J_A,2017,Expired,1261
Africa Sub-Saharan,2008,Dep_J_A,2017,Valid visa,4176
Africa Sub-Saharan,2008,Dep_J_A,2018,Expired,1280
Africa Sub-Saharan,2008,Dep_J_A,2018,Valid visa,4157
Africa Sub-Saharan,2008,Dep_J_A,2019,Expired,1283
Africa Sub-Saharan,2008,Dep_J_A,2019,Valid visa,4154
Africa Sub-Saharan,2008,Dep_J_A,2020,Expired,1309
Africa Sub-Saharan,2008,Dep_J_A,2020,Valid visa,4128
Africa Sub-Saharan,2009,Dep_J_A,2009,Expired,5
Africa Sub-Saharan,2009,Dep_J_A,2009,Valid visa,1807
Africa Sub-Saharan,2009,Dep_J_A,2010,Expired,36
Africa Sub-Saharan,2009,Dep_J_A,2010,Valid visa,1776
Africa Sub-Saharan,2009,Dep_J_A,2011,Expired,143
Africa Sub-Saharan,2009,Dep_J_A,2011,Valid visa,1669
Africa Sub-Saharan,2009,Dep_J_A,2012,Expired,188
Africa Sub-Saharan,2009,Dep_J_A,2012,Valid visa,1624
Africa Sub-Saharan,2009,Dep_J_A,2013,Expired,226
Africa Sub-Saharan,2009,Dep_J_A,2013,Valid visa,1586
Africa Sub-Saharan,2009,Dep_J_A,2014,Expired,333
Africa Sub-Saharan,2009,Dep_J_A,2014,Valid visa,1479
Africa Sub-Saharan,2009,Dep_J_A,2015,Expired,337
Africa Sub-Saharan,2009,Dep_J_A,2015,Valid visa,1475
Africa Sub-Saharan,2009,Dep_J_A,2016,Expired,342
Africa Sub-Saharan,2009,Dep_J_A,2016,Valid visa,1470
Africa Sub-Saharan,2009,Dep_J_A,2017,Expired,347
Africa Sub-Saharan,2009,Dep_J_A,2017,Valid visa,1465
Africa Sub-Saharan,2009,Dep_J_A,2018,Expired,350
Africa Sub-Saharan,2009,Dep_J_A,2018,Valid visa,1462
Africa Sub-Saharan,2009,Dep_J_A,2019,Expired,357
Africa Sub-Saharan,2009,Dep_J_A,2019,Valid visa,1455
Africa Sub-Saharan,2009,Dep_J_A,2020,Expired,370
Africa Sub-Saharan,2009,Dep_J_A,2020,Valid visa,1442
Africa Sub-Saharan,2010,Dep_J_A,2010,Expired,10
Africa Sub-Saharan,2010,Dep_J_A,2010,Valid visa,1808
Africa Sub-Saharan,2010,Dep_J_A,2011,Expired,67
Africa Sub-Saharan,2010,Dep_J_A,2011,Valid visa,1751
Africa Sub-Saharan,2010,Dep_J_A,2012,Expired,157
Africa Sub-Saharan,2010,Dep_J_A,2012,Valid visa,1661
Africa Sub-Saharan,2010,Dep_J_A,2013,Expired,206
Africa Sub-Saharan,2010,Dep_J_A,2013,Valid visa,1612
Africa Sub-Saharan,2010,Dep_J_A,2014,Expired,232
Africa Sub-Saharan,2010,Dep_J_A,2014,Valid visa,1586
Africa Sub-Saharan,2010,Dep_J_A,2015,Expired,318
Africa Sub-Saharan,2010,Dep_J_A,2015,Valid visa,1500
Africa Sub-Saharan,2010,Dep_J_A,2016,Expired,321
Africa Sub-Saharan,2010,Dep_J_A,2016,Valid visa,1497
Africa Sub-Saharan,2010,Dep_J_A,2017,Expired,324
Africa Sub-Saharan,2010,Dep_J_A,2017,Valid visa,1494
Africa Sub-Saharan,2010,Dep_J_A,2018,Expired,325
Africa Sub-Saharan,2010,Dep_J_A,2018,Valid visa,1493
Africa Sub-Saharan,2010,Dep_J_A,2019,Expired,327
Africa Sub-Saharan,2010,Dep_J_A,2019,Valid visa,1491
Africa Sub-Saharan,2010,Dep_J_A,2020,Expired,339
Africa Sub-Saharan,2010,Dep_J_A,2020,Valid visa,1479
Africa Sub-Saharan,2011,Dep_J_A,2011,Expired,1
Africa Sub-Saharan,2011,Dep_J_A,2011,Valid visa,1365
Africa Sub-Saharan,2011,Dep_J_A,2012,Expired,29
Africa Sub-Saharan,2011,Dep_J_A,2012,Valid visa,1337
Africa Sub-Saharan,2011,Dep_J_A,2013,Expired,111
Africa Sub-Saharan,2011,Dep_J_A,2013,Valid visa,1255
Africa Sub-Saharan,2011,Dep_J_A,2014,Expired,144
Africa Sub-Saharan,2011,Dep_J_A,2014,Valid visa,1222
Africa Sub-Saharan,2011,Dep_J_A,2015,Expired,166
Africa Sub-Saharan,2011,Dep_J_A,2015,Valid visa,1200
Africa Sub-Saharan,2011,Dep_J_A,2016,Expired,258
Africa Sub-Saharan,2011,Dep_J_A,2016,Valid visa,1108
Africa Sub-Saharan,2011,Dep_J_A,2017,Expired,260
Africa Sub-Saharan,2011,Dep_J_A,2017,Valid visa,1106
Africa Sub-Saharan,2011,Dep_J_A,2018,Expired,262
Africa Sub-Saharan,2011,Dep_J_A,2018,Valid visa,1104
Africa Sub-Saharan,2011,Dep_J_A,2019,Expired,265
Africa Sub-Saharan,2011,Dep_J_A,2019,Valid visa,1101
Africa Sub-Saharan,2011,Dep_J_A,2020,Expired,284
Africa Sub-Saharan,2011,Dep_J_A,2020,Valid visa,1082
Africa Sub-Saharan,2012,Dep_J_A,2012,Expired,8
Africa Sub-Saharan,2012,Dep_J_A,2012,Valid visa,1011
Africa Sub-Saharan,2012,Dep_J_A,2013,Expired,38
Africa Sub-Saharan,2012,Dep_J_A,2013,Valid visa,981
Africa Sub-Saharan,2012,Dep_J_A,2014,Expired,99
Africa Sub-Saharan,2012,Dep_J_A,2014,Valid visa,920
Africa Sub-Saharan,2012,Dep_J_A,2015,Expired,120
Africa Sub-Saharan,2012,Dep_J_A,2015,Valid visa,899
Africa Sub-Saharan,2012,Dep_J_A,2016,Expired,131
Africa Sub-Saharan,2012,Dep_J_A,2016,Valid visa,888
Africa Sub-Saharan,2012,Dep_J_A,2017,Expired,173
Africa Sub-Saharan,2012,Dep_J_A,2017,Valid visa,846
Africa Sub-Saharan,2012,Dep_J_A,2018,Expired,177
Africa Sub-Saharan,2012,Dep_J_A,2018,Valid visa,842
Africa Sub-Saharan,2012,Dep_J_A,2019,Expired,181
Africa Sub-Saharan,2012,Dep_J_A,2019,Valid visa,838
Africa Sub-Saharan,2012,Dep_J_A,2020,Expired,204
Africa Sub-Saharan,2012,Dep_J_A,2020,Valid visa,815
Africa Sub-Saharan,2013,Dep_J_A,2013,Expired,2
Africa Sub-Saharan,2013,Dep_J_A,2013,Valid visa,1029
Africa Sub-Saharan,2013,Dep_J_A,2014,Expired,33
Africa Sub-Saharan,2013,Dep_J_A,2014,Valid visa,998
Africa Sub-Saharan,2013,Dep_J_A,2015,Expired,70
Africa Sub-Saharan,2013,Dep_J_A,2015,Valid visa,961
Africa Sub-Saharan,2013,Dep_J_A,2016,Expired,114
Africa Sub-Saharan,2013,Dep_J_A,2016,Valid visa,917
Africa Sub-Saharan,2013,Dep_J_A,2017,Expired,127
Africa Sub-Saharan,2013,Dep_J_A,2017,Valid visa,904
Africa Sub-Saharan,2013,Dep_J_A,2018,Expired,202
Africa Sub-Saharan,2013,Dep_J_A,2018,Valid visa,829
Africa Sub-Saharan,2013,Dep_J_A,2019,Expired,213
Africa Sub-Saharan,2013,Dep_J_A,2019,Valid visa,818
Africa Sub-Saharan,2013,Dep_J_A,2020,Expired,227
Africa Sub-Saharan,2013,Dep_J_A,2020,Valid visa,804
Africa Sub-Saharan,2014,Dep_J_A,2014,Expired,3
Africa Sub-Saharan,2014,Dep_J_A,2014,Valid visa,882
Africa Sub-Saharan,2014,Dep_J_A,2015,Expired,20
Africa Sub-Saharan,2014,Dep_J_A,2015,Valid visa,865
Africa Sub-Saharan,2014,Dep_J_A,2016,Expired,36
Africa Sub-Saharan,2014,Dep_J_A,2016,Valid visa,849
Africa Sub-Saharan,2014,Dep_J_A,2017,Expired,76
Africa Sub-Saharan,2014,Dep_J_A,2017,Valid visa,809
Africa Sub-Saharan,2014,Dep_J_A,2018,Expired,89
Africa Sub-Saharan,2014,Dep_J_A,2018,Valid visa,796
Africa Sub-Saharan,2014,Dep_J_A,2019,Expired,167
Africa Sub-Saharan,2014,Dep_J_A,2019,Valid visa,718
Africa Sub-Saharan,2014,Dep_J_A,2020,Expired,183
Africa Sub-Saharan,2014,Dep_J_A,2020,Valid visa,702
Africa Sub-Saharan,2015,Dep_J_A,2015,Expired,1
Africa Sub-Saharan,2015,Dep_J_A,2015,Valid visa,1128
Africa Sub-Saharan,2015,Dep_J_A,2016,Expired,8
Africa Sub-Saharan,2015,Dep_J_A,2016,Valid visa,1121
Africa Sub-Saharan,2015,Dep_J_A,2017,Expired,35
Africa Sub-Saharan,2015,Dep_J_A,2017,Valid visa,1094
Africa Sub-Saharan,2015,Dep_J_A,2018,Expired,92
Africa Sub-Saharan,2015,Dep_J_A,2018,Valid visa,1037
Africa Sub-Saharan,2015,Dep_J_A,2019,Expired,99
Africa Sub-Saharan,2015,Dep_J_A,2019,Valid visa,1030
Africa Sub-Saharan,2015,Dep_J_A,2020,Expired,329
Africa Sub-Saharan,2015,Dep_J_A,2020,Valid visa,800
Africa Sub-Saharan,2016,Dep_J_A,2016,Expired,2
Africa Sub-Saharan,2016,Dep_J_A,2016,Valid visa,1300
Africa Sub-Saharan,2016,Dep_J_A,2017,Expired,34
Africa Sub-Saharan,2016,Dep_J_A,2017,Valid visa,1268
Africa Sub-Saharan,2016,Dep_J_A,2018,Expired,58
Africa Sub-Saharan,2016,Dep_J_A,2018,Valid visa,1244
Africa Sub-Saharan,2016,Dep_J_A,2019,Expired,115
Africa Sub-Saharan,2016,Dep_J_A,2019,Valid visa,1187
Africa Sub-Saharan,2016,Dep_J_A,2020,Expired,141
Africa Sub-Saharan,2016,Dep_J_A,2020,Valid visa,1161
Africa Sub-Saharan,2017,Dep_J_A,2017,Expired,1
Africa Sub-Saharan,2017,Dep_J_A,2017,Valid visa,1512
Africa Sub-Saharan,2017,Dep_J_A,2018,Expired,56
Africa Sub-Saharan,2017,Dep_J_A,2018,Valid visa,1457
Africa Sub-Saharan,2017,Dep_J_A,2019,Expired,93
Africa Sub-Saharan,2017,Dep_J_A,2019,Valid visa,1420
Africa Sub-Saharan,2017,Dep_J_A,2020,Expired,212
Africa Sub-Saharan,2017,Dep_J_A,2020,Valid visa,1301
Africa Sub-Saharan,2018,Dep_J_A,2018,Expired,1
Africa Sub-Saharan,2018,Dep_J_A,2018,Valid visa,1121
Africa Sub-Saharan,2018,Dep_J_A,2019,Expired,24
Africa Sub-Saharan,2018,Dep_J_A,2019,Valid visa,1098
Africa Sub-Saharan,2018,Dep_J_A,2020,Expired,67
Africa Sub-Saharan,2018,Dep_J_A,2020,Valid visa,1055
Africa Sub-Saharan,2019,Dep_J_A,2019,Expired,3
Africa Sub-Saharan,2019,Dep_J_A,2019,Valid visa,1355
Africa Sub-Saharan,2019,Dep_J_A,2020,Expired,73
Africa Sub-Saharan,2019,Dep_J_A,2020,Valid visa,1285
Africa Sub-Saharan,2020,Dep_J_A,2020,Expired,0
Africa Sub-Saharan,2020,Dep_J_A,2020,Valid visa,826
Africa Sub-Saharan,2004,Family,2004,Expired,259
Africa Sub-Saharan,2004,Family,2004,Valid visa,9178
Africa Sub-Saharan,2004,Family,2005,Expired,1182
Africa Sub-Saharan,2004,Family,2005,Valid visa,8255
Africa Sub-Saharan,2004,Family,2006,Expired,1924
Africa Sub-Saharan,2004,Family,2006,Valid visa,7513
Africa Sub-Saharan,2004,Family,2007,Expired,2077
Africa Sub-Saharan,2004,Family,2007,Valid visa,7360
Africa Sub-Saharan,2004,Family,2008,Expired,2311
Africa Sub-Saharan,2004,Family,2008,Valid visa,7126
Africa Sub-Saharan,2004,Family,2009,Expired,2362
Africa Sub-Saharan,2004,Family,2009,Valid visa,7075
Africa Sub-Saharan,2004,Family,2010,Expired,2377
Africa Sub-Saharan,2004,Family,2010,Valid visa,7060
Africa Sub-Saharan,2004,Family,2011,Expired,2401
Africa Sub-Saharan,2004,Family,2011,Valid visa,7036
Africa Sub-Saharan,2004,Family,2012,Expired,2458
Africa Sub-Saharan,2004,Family,2012,Valid visa,6979
Africa Sub-Saharan,2004,Family,2013,Expired,2642
Africa Sub-Saharan,2004,Family,2013,Valid visa,6795
Africa Sub-Saharan,2004,Family,2014,Expired,2698
Africa Sub-Saharan,2004,Family,2014,Valid visa,6739
Africa Sub-Saharan,2004,Family,2015,Expired,2700
Africa Sub-Saharan,2004,Family,2015,Valid visa,6737
Africa Sub-Saharan,2004,Family,2016,Expired,2703
