age,sex,ethgrp,cob,n
37,F,Black-African,Non_UK,20
37,F,Black-African,UK,1
37,F,Black-African,NA,1
37,F,Black-Caribbean,UK,1
37,F,Black-Other,UK,1
37,F,Indian,Non_UK,14
37,F,Indian,UK,2
37,F,Indian,NA,2
37,F,Mixed-Other,Non_UK,10
37,F,Mixed-Other,NA,1
37,F,Pakistani,Non_UK,7
37,F,Pakistani,UK,2
37,F,White,Non_UK,5
37,F,White,UK,4
37,M,Bangladeshi,Non_UK,1
37,M,Black-African,Non_UK,12
37,M,Black-African,UK,1
37,M,Black-Caribbean,Non_UK,1
37,M,Black-Caribbean,UK,1
37,M,Black-Other,UK,1
37,M,Indian,Non_UK,19
37,M,Indian,UK,9
37,M,Indian,NA,2
37,M,Mixed-Other,Non_UK,10
37,M,Mixed-Other,NA,1
37,M,Pakistani,Non_UK,12
37,M,Pakistani,UK,1
37,M,White,Non_UK,4
37,M,White,UK,9
37,M,NA,Non_UK,3
38,F,Black-African,Non_UK,19
38,F,Black-Caribbean,Non_UK,1
38,F,Black-Caribbean,UK,2
38,F,Chinese,Non_UK,1
38,F,Indian,Non_UK,13
38,F,Indian,UK,1
38,F,Indian,NA,1
38,F,Mixed-Other,Non_UK,8
38,F,Pakistani,Non_UK,9
38,F,Pakistani,UK,1
38,F,Pakistani,NA,2
38,F,White,UK,7
38,F,NA,NA,1
38,M,Bangladeshi,Non_UK,6
38,M,Black-African,Non_UK,21
38,M,Black-Caribbean,Non_UK,2
38,M,Black-Caribbean,UK,1
38,M,Chinese,Non_UK,1
38,M,Indian,Non_UK,22
38,M,Indian,NA,1
38,M,Mixed-Other,Non_UK,6
38,M,Mixed-Other,UK,2
38,M,Pakistani,Non_UK,18
38,M,White,Non_UK,5
38,M,White,UK,7
38,M,NA,Non_UK,2
38,NA,Mixed-Other,UK,1
39,F,Black-African,Non_UK,11
39,F,Black-African,NA,1
39,F,Black-Caribbean,Non_UK,1
39,F,Indian,Non_UK,12
39,F,Indian,NA,1
39,F,Mixed-Other,Non_UK,11
39,F,Pakistani,Non_UK,6
39,F,White,UK,4
39,F,White,NA,1
39,F,NA,Non_UK,2
39,F,NA,NA,1
39,M,Bangladeshi,Non_UK,1
39,M,Black-African,Non_UK,22
39,M,Black-African,NA,1
39,M,Black-Caribbean,UK,1
39,M,Indian,Non_UK,23
39,M,Indian,UK,1
39,M,Mixed-Other,Non_UK,10
39,M,Mixed-Other,UK,1
39,M,Mixed-Other,NA,2
39,M,Pakistani,Non_UK,12
39,M,Pakistani,NA,1
39,M,White,Non_UK,4
39,M,White,UK,9
39,M,White,NA,1
39,M,NA,UK,1
39,M,NA,NA,1
40,F,Bangladeshi,Non_UK,2
40,F,Black-African,Non_UK,15
40,F,Black-African,UK,1
40,F,Black-African,NA,3
40,F,Chinese,Non_UK,1
40,F,Indian,Non_UK,6
40,F,Indian,UK,2
40,F,Indian,NA,1
40,F,Mixed-Other,Non_UK,11
40,F,Pakistani,Non_UK,4
40,F,White,Non_UK,2
40,F,White,UK,5
40,F,White,NA,1
40,M,Bangladeshi,Non_UK,3
40,M,Black-African,Non_UK,23
40,M,Black-African,UK,1
40,M,Black-African,NA,2
40,M,Black-Caribbean,UK,1
40,M,Black-Other,Non_UK,1
40,M,Black-Other,UK,1
40,M,Chinese,Non_UK,2
40,M,Chinese,UK,1
40,M,Indian,Non_UK,12
40,M,Indian,UK,2
40,M,Indian,NA,1
40,M,Mixed-Other,Non_UK,10
40,M,Pakistani,Non_UK,10
40,M,Pakistani,UK,1
40,M,White,Non_UK,7
40,M,White,UK,11
40,M,White,NA,1
40,M,NA,NA,1
40,NA,Indian,UK,1
41,F,Black-African,Non_UK,9
41,F,Black-African,UK,2
41,F,Black-African,NA,2
41,F,Black-Caribbean,UK,1
41,F,Chinese,Non_UK,2
41,F,Indian,Non_UK,15
41,F,Indian,UK,4
41,F,Mixed-Other,Non_UK,5
41,F,Mixed-Other,UK,1
41,F,Pakistani,Non_UK,11
41,F,Pakistani,UK,2
41,F,White,Non_UK,2
41,F,White,UK,8
41,F,NA,Non_UK,2
41,F,NA,NA,1
41,M,Bangladeshi,Non_UK,2
41,M,Black-African,Non_UK,11
41,M,Black-African,UK,1
41,M,Black-Caribbean,Non_UK,1
41,M,Black-Caribbean,UK,3
41,M,Black-Other,UK,1
41,M,Indian,Non_UK,21
41,M,Indian,UK,3
41,M,Mixed-Other,Non_UK,10
41,M,Mixed-Other,UK,1
41,M,Pakistani,Non_UK,7
41,M,Pakistani,UK,1
41,M,White,Non_UK,2
41,M,White,UK,8
41,M,NA,NA,2
41,NA,Mixed-Other,Non_UK,1
42,F,Bangladeshi,Non_UK,2
42,F,Black-African,Non_UK,12
42,F,Black-African,UK,4
42,F,Black-Caribbean,UK,2
42,F,Black-Other,Non_UK,2
42,F,Chinese,Non_UK,2
42,F,Indian,Non_UK,10
42,F,Mixed-Other,Non_UK,6
42,F,Mixed-Other,NA,1
42,F,Pakistani,Non_UK,4
42,F,Pakistani,NA,1
42,F,White,UK,5
42,F,NA,Non_UK,1
42,F,NA,NA,3
42,M,Bangladeshi,Non_UK,1
42,M,Bangladeshi,UK,1
42,M,Black-African,Non_UK,13
42,M,Black-African,UK,1
42,M,Black-African,NA,2
42,M,Black-Caribbean,UK,1
42,M,Black-Other,Non_UK,1
42,M,Chinese,Non_UK,1
42,M,Indian,Non_UK,15
42,M,Indian,NA,1
42,M,Mixed-Other,Non_UK,3
42,M,Mixed-Other,UK,1
42,M,Pakistani,Non_UK,10
42,M,Pakistani,UK,2
42,M,White,Non_UK,5
42,M,White,UK,14
42,M,NA,Non_UK,1
42,M,NA,UK,2
42,M,NA,NA,2
43,F,Bangladeshi,Non_UK,1
43,F,Black-African,Non_UK,12
43,F,Black-African,UK,1
43,F,Black-African,NA,2
43,F,Black-Caribbean,Non_UK,2
43,F,Black-Caribbean,UK,2
43,F,Black-Other,Non_UK,1
43,F,Chinese,Non_UK,1
43,F,Indian,Non_UK,12
43,F,Indian,UK,1
43,F,Mixed-Other,Non_UK,6
43,F,Pakistani,Non_UK,4
43,F,Pakistani,UK,1
43,F,White,Non_UK,1
43,F,White,UK,9
43,F,NA,Non_UK,1
43,M,Bangladeshi,Non_UK,5
43,M,Black-African,Non_UK,18
43,M,Black-African,UK,1
43,M,Black-Caribbean,UK,3
43,M,Black-Other,UK,1
43,M,Indian,Non_UK,17
43,M,Indian,UK,1
43,M,Mixed-Other,Non_UK,9
43,M,Pakistani,Non_UK,10
43,M,White,UK,9
43,M,NA,Non_UK,1
43,M,NA,UK,1
43,NA,White,UK,1
44,F,Bangladeshi,NA,1
44,F,Black-African,Non_UK,10
44,F,Black-African,UK,2
44,F,Indian,Non_UK,10
44,F,Indian,UK,1
44,F,Mixed-Other,Non_UK,2
44,F,Pakistani,Non_UK,9
44,F,White,UK,11
44,F,NA,Non_UK,1
44,M,Bangladeshi,Non_UK,1
44,M,Black-African,Non_UK,9
44,M,Black-African,UK,1
44,M,Black-African,NA,1
44,M,Black-Caribbean,UK,2
44,M,Indian,Non_UK,14
44,M,Indian,UK,2
44,M,Mixed-Other,Non_UK,4
44,M,Pakistani,Non_UK,13
44,M,White,Non_UK,2
44,M,White,UK,12
44,M,White,NA,1
44,M,NA,NA,2
45,F,Bangladeshi,Non_UK,4
45,F,Black-African,Non_UK,12
45,F,Black-African,NA,1
45,F,Black-Caribbean,Non_UK,1
45,F,Black-Caribbean,UK,2
45,F,Black-Other,Non_UK,1
45,F,Chinese,Non_UK,1
45,F,Indian,Non_UK,8
45,F,Mixed-Other,Non_UK,3
45,F,Pakistani,Non_UK,8
45,F,White,Non_UK,1
45,F,White,UK,5
45,F,White,NA,1
45,M,Bangladeshi,Non_UK,1
45,M,Black-African,Non_UK,10
45,M,Black-African,NA,1
45,M,Black-Caribbean,Non_UK,1
45,M,Black-Caribbean,UK,1
45,M,Black-Other,Non_UK,1
45,M,Chinese,UK,1
45,M,Indian,Non_UK,20
45,M,Indian,UK,3
45,M,Mixed-Other,Non_UK,7
45,M,Mixed-Other,UK,2
45,M,Pakistani,Non_UK,6
45,M,Pakistani,NA,1
45,M,White,Non_UK,6
45,M,White,UK,18
45,M,White,NA,1
45,M,NA,UK,1
45,M,NA,NA,1
45,NA,White,UK,2
46,F,Black-African,Non_UK,16
46,F,Black-Caribbean,UK,4
46,F,Chinese,Non_UK,1
46,F,Indian,Non_UK,9
46,F,Indian,UK,2
46,F,Mixed-Other,Non_UK,4
46,F,Pakistani,Non_UK,7
46,F,Pakistani,UK,1
46,F,White,Non_UK,3
46,F,White,UK,4
46,F,White,NA,1
46,F,NA,Non_UK,1
46,F,NA,NA,1
46,M,Bangladeshi,Non_UK,5
46,M,Black-African,Non_UK,15
46,M,Black-African,UK,1
46,M,Black-Caribbean,Non_UK,1
46,M,Black-Other,Non_UK,1
46,M,Indian,Non_UK,17
46,M,Mixed-Other,Non_UK,2
46,M,Mixed-Other,NA,1
46,M,Pakistani,Non_UK,6
46,M,Pakistani,UK,1
46,M,White,Non_UK,2
46,M,White,UK,18
46,M,NA,Non_UK,1
46,M,NA,NA,1
46,NA,Indian,Non_UK,1
47,F,Black-African,Non_UK,9
47,F,Black-Caribbean,UK,3
47,F,Black-Other,Non_UK,1
47,F,Indian,Non_UK,11
47,F,Indian,UK,1
47,F,Indian,NA,2
47,F,Mixed-Other,Non_UK,3
47,F,Pakistani,Non_UK,2
47,F,Pakistani,NA,1
47,F,White,Non_UK,1
47,F,White,UK,10
47,F,NA,Non_UK,3
47,M,Black-African,Non_UK,17
47,M,Black-African,NA,1
47,M,Black-Caribbean,Non_UK,1
47,M,Chinese,Non_UK,1
47,M,Indian,Non_UK,19
47,M,Indian,UK,1
47,M,Indian,NA,1
47,M,Mixed-Other,Non_UK,2
47,M,Pakistani,Non_UK,8
47,M,Pakistani,NA,1
47,M,White,Non_UK,3
47,M,White,UK,12
47,M,White,NA,1
47,M,NA,Non_UK,1
47,M,NA,NA,2
47,NA,Pakistani,Non_UK,1
48,F,Black-African,Non_UK,10
48,F,Black-Caribbean,Non_UK,1
48,F,Indian,Non_UK,3
48,F,Indian,UK,1
48,F,Indian,NA,1
48,F,Mixed-Other,Non_UK,5
48,F,Pakistani,Non_UK,5
48,F,White,Non_UK,2
48,F,White,UK,5
48,F,NA,NA,1
48,M,Bangladeshi,Non_UK,1
48,M,Black-African,Non_UK,7
48,M,Black-African,UK,1
48,M,Black-Caribbean,UK,1
48,M,Black-Other,UK,1
48,M,Indian,Non_UK,10
48,M,Indian,NA,1
48,M,Mixed-Other,Non_UK,3
48,M,Mixed-Other,NA,1
48,M,Pakistani,Non_UK,4
48,M,Pakistani,NA,1
48,M,White,Non_UK,2
48,M,White,UK,8
48,M,White,NA,1
48,M,NA,Non_UK,1
49,F,Black-African,Non_UK,4
49,F,Black-African,NA,1
49,F,Black-Caribbean,Non_UK,1
49,F,Chinese,Non_UK,1
49,F,Indian,Non_UK,4
49,F,Indian,NA,3
49,F,Pakistani,Non_UK,6
49,F,White,UK,6
49,F,White,NA,1
49,F,NA,NA,1
49,M,Bangladeshi,Non_UK,1
49,M,Black-African,Non_UK,9
49,M,Black-African,UK,1
49,M,Black-African,NA,1
49,M,Black-Caribbean,Non_UK,1
49,M,Black-Caribbean,UK,1
49,M,Black-Other,Non_UK,3
49,M,Indian,Non_UK,7
49,M,Indian,UK,1
49,M,Mixed-Other,Non_UK,3
49,M,Mixed-Other,UK,1
49,M,Pakistani,Non_UK,7
49,M,White,Non_UK,3
49,M,White,UK,12
49,M,White,NA,1
49,M,NA,UK,1
50,F,Bangladeshi,Non_UK,1
50,F,Black-African,Non_UK,7
50,F,Black-African,NA,1
50,F,Black-Caribbean,NA,1
50,F,Chinese,Non_UK,1
50,F,Indian,Non_UK,9
50,F,Indian,NA,1
50,F,Mixed-Other,Non_UK,7
50,F,Mixed-Other,NA,2
50,F,Pakistani,Non_UK,9
50,F,White,Non_UK,2
50,F,White,UK,9
50,F,NA,Non_UK,1
50,M,Bangladeshi,Non_UK,3
50,M,Black-African,Non_UK,9
50,M,Black-African,UK,1
50,M,Black-African,NA,1
50,M,Black-Caribbean,Non_UK,1
50,M,Black-Caribbean,UK,1
50,M,Chinese,Non_UK,1
50,M,Indian,Non_UK,12
50,M,Indian,UK,1
50,M,Indian,NA,1
50,M,Mixed-Other,Non_UK,6
50,M,Mixed-Other,UK,1
50,M,Pakistani,Non_UK,10
50,M,Pakistani,UK,1
50,M,White,UK,14
50,M,White,NA,1
50,NA,NA,UK,1
51,F,Black-African,Non_UK,9
51,F,Black-African,UK,2
51,F,Black-Caribbean,UK,1
51,F,Indian,Non_UK,9
51,F,Mixed-Other,Non_UK,4
51,F,Pakistani,Non_UK,11
51,F,White,Non_UK,2
51,F,White,UK,6
51,F,White,NA,2
51,F,NA,Non_UK,2
51,F,NA,NA,1
51,M,Bangladeshi,Non_UK,4
51,M,Black-African,Non_UK,10
51,M,Chinese,Non_UK,1
51,M,Indian,Non_UK,11
51,M,Indian,UK,3
51,M,Indian,NA,1
51,M,Mixed-Other,Non_UK,5
51,M,Mixed-Other,UK,1
51,M,Mixed-Other,NA,1
51,M,Pakistani,Non_UK,1
51,M,White,Non_UK,3
51,M,White,UK,12
51,M,White,NA,3
51,M,NA,Non_UK,1
51,M,NA,UK,1
51,M,NA,NA,1
52,F,Bangladeshi,UK,1
52,F,Black-African,Non_UK,4
52,F,Black-Caribbean,Non_UK,1
52,F,Indian,Non_UK,9
52,F,Mixed-Other,Non_UK,2
52,F,Pakistani,Non_UK,10
52,F,Pakistani,NA,1
52,F,White,Non_UK,1
52,F,White,UK,3
52,F,NA,NA,1
52,M,Bangladeshi,Non_UK,2
52,M,Black-African,Non_UK,5
52,M,Black-African,NA,1
52,M,Black-Caribbean,Non_UK,3
52,M,Black-Other,Non_UK,1
52,M,Indian,Non_UK,9
52,M,Indian,UK,1
52,M,Mixed-Other,Non_UK,4
52,M,Pakistani,Non_UK,12
52,M,White,Non_UK,2
52,M,White,UK,10
52,M,White,NA,1
52,M,NA,NA,1
53,F,Bangladeshi,Non_UK,1
53,F,Black-African,Non_UK,4
53,F,Black-Caribbean,Non_UK,2
53,F,Black-Caribbean,UK,1
53,F,Indian,Non_UK,7
53,F,Indian,UK,1
53,F,Indian,NA,2
53,F,Mixed-Other,Non_UK,3
53,F,Mixed-Other,UK,1
53,F,Pakistani,Non_UK,13
53,F,White,Non_UK,1
53,F,White,UK,5
53,F,NA,Non_UK,1
53,M,Bangladeshi,Non_UK,1
53,M,Black-African,Non_UK,8
53,M,Black-Caribbean,Non_UK,2
53,M,Indian,Non_UK,11
53,M,Mixed-Other,Non_UK,6
53,M,Mixed-Other,NA,1
53,M,Pakistani,Non_UK,8
53,M,Pakistani,UK,1
53,M,White,Non_UK,2
53,M,White,UK,11
53,M,NA,NA,1
54,F,Black-African,Non_UK,7
54,F,Black-Caribbean,Non_UK,1
54,F,Indian,Non_UK,6
54,F,Indian,UK,1
54,F,Mixed-Other,Non_UK,2
54,F,Mixed-Other,NA,1
54,F,Pakistani,Non_UK,5
54,F,White,UK,7
54,F,NA,Non_UK,1
54,M,Bangladeshi,Non_UK,2
54,M,Black-African,Non_UK,7
54,M,Black-Caribbean,Non_UK,1
54,M,Chinese,Non_UK,1
54,M,Indian,Non_UK,7
54,M,Indian,NA,1
54,M,Mixed-Other,Non_UK,4
54,M,Mixed-Other,NA,1
54,M,Pakistani,Non_UK,7
54,M,White,Non_UK,1
54,M,White,UK,10
54,M,NA,NA,2
55,F,Black-African,Non_UK,3
55,F,Indian,Non_UK,9
55,F,Mixed-Other,Non_UK,3
55,F,Pakistani,Non_UK,8
55,F,Pakistani,NA,1
55,F,White,UK,2
55,F,White,NA,1
55,F,NA,Non_UK,2
55,M,Black-African,Non_UK,7
55,M,Black-Caribbean,Non_UK,1
55,M,Black-Caribbean,UK,2
55,M,Indian,Non_UK,7
55,M,Mixed-Other,Non_UK,2
55,M,Mixed-Other,NA,1
55,M,Pakistani,Non_UK,6
55,M,Pakistani,NA,1
55,M,White,Non_UK,2
55,M,White,UK,8
55,M,White,NA,4
55,NA,Indian,Non_UK,1
56,F,Bangladeshi,Non_UK,1
56,F,Black-African,Non_UK,9
56,F,Indian,Non_UK,9
56,F,Indian,NA,1
56,F,Mixed-Other,Non_UK,5
56,F,Mixed-Other,NA,1
56,F,Pakistani,Non_UK,5
56,F,White,Non_UK,2
56,F,White,UK,4
56,F,White,NA,1
56,M,Bangladeshi,Non_UK,1
56,M,Black-African,Non_UK,4
56,M,Black-African,UK,1
56,M,Black-Caribbean,Non_UK,1
56,M,Chinese,Non_UK,1
56,M,Indian,Non_UK,12
56,M,Indian,NA,2
56,M,Mixed-Other,Non_UK,3
56,M,Pakistani,Non_UK,7
56,M,Pakistani,NA,2
56,M,White,Non_UK,2
56,M,White,UK,19
56,M,NA,Non_UK,1
57,F,Bangladeshi,Non_UK,2
57,F,Black-African,Non_UK,3
57,F,Black-Caribbean,NA,1
57,F,Black-Other,Non_UK,1
57,F,Indian,Non_UK,13
57,F,Mixed-Other,Non_UK,6
57,F,Pakistani,Non_UK,8
57,F,White,Non_UK,1
57,F,White,UK,6
57,F,NA,Non_UK,1
57,M,Bangladeshi,Non_UK,3
57,M,Black-African,Non_UK,4
57,M,Black-Caribbean,NA,1
57,M,Black-Other,Non_UK,1
57,M,Chinese,Non_UK,1
57,M,Indian,Non_UK,19
57,M,Mixed-Other,Non_UK,2
57,M,Pakistani,Non_UK,6
57,M,Pakistani,NA,1
57,M,White,Non_UK,2
57,M,White,UK,15
57,M,White,NA,1
57,NA,Pakistani,Non_UK,1
58,F,Black-African,Non_UK,4
58,F,Black-African,NA,1
58,F,Indian,Non_UK,12
58,F,Mixed-Other,Non_UK,1
58,F,Mixed-Other,NA,1
58,F,Pakistani,Non_UK,6
58,F,Pakistani,NA,1
58,F,White,Non_UK,1
58,F,White,UK,7
58,F,White,NA,1
58,F,NA,UK,1
58,F,NA,NA,1
58,M,Bangladeshi,Non_UK,1
58,M,Black-African,Non_UK,2
58,M,Black-Caribbean,Non_UK,1
58,M,Indian,Non_UK,2
58,M,Indian,NA,1
58,M,Mixed-Other,Non_UK,4
58,M,Pakistani,Non_UK,5
58,M,Pakistani,NA,1
58,M,White,Non_UK,2
58,M,White,UK,7
58,M,NA,UK,1
59,F,Black-African,Non_UK,3
59,F,Indian,Non_UK,4
59,F,Indian,NA,1
59,F,Mixed-Other,Non_UK,4
59,F,Mixed-Other,NA,1
59,F,Pakistani,Non_UK,3
59,F,Pakistani,NA,1
59,F,White,UK,5
59,F,White,NA,2
59,F,NA,NA,2
59,M,Bangladeshi,Non_UK,1
59,M,Black-African,Non_UK,5
59,M,Black-Caribbean,Non_UK,1
59,M,Black-Other,Non_UK,1
59,M,Indian,Non_UK,6
59,M,Mixed-Other,Non_UK,3
59,M,Pakistani,Non_UK,9
59,M,Pakistani,NA,2
59,M,White,Non_UK,1
59,M,White,UK,14
59,M,White,NA,1
60,F,Bangladeshi,Non_UK,1
60,F,Black-African,Non_UK,2
60,F,Black-Other,Non_UK,1
60,F,Indian,Non_UK,7
60,F,Indian,NA,1
60,F,Mixed-Other,Non_UK,1
60,F,Pakistani,Non_UK,5
60,F,Pakistani,NA,1
60,F,White,Non_UK,1
60,F,White,UK,8
60,F,NA,NA,1
60,M,Black-African,Non_UK,2
60,M,Black-Caribbean,Non_UK,2
60,M,Indian,Non_UK,8
60,M,Mixed-Other,Non_UK,4
60,M,Pakistani,Non_UK,7
60,M,Pakistani,NA,1
60,M,White,UK,12
60,M,White,NA,2
60,M,NA,Non_UK,1
60,NA,Pakistani,Non_UK,1
61,F,Bangladeshi,Non_UK,2
61,F,Black-African,Non_UK,6
61,F,Chinese,Non_UK,2
61,F,Indian,Non_UK,2
61,F,Mixed-Other,Non_UK,2
61,F,Pakistani,Non_UK,8
61,F,White,UK,6
61,F,White,NA,1
61,F,NA,Non_UK,1
61,M,Bangladeshi,Non_UK,1
61,M,Black-African,Non_UK,5
61,M,Black-Other,Non_UK,1
61,M,Indian,Non_UK,10
61,M,Mixed-Other,NA,2
61,M,Pakistani,Non_UK,3
61,M,White,Non_UK,2
61,M,White,UK,10
61,M,White,NA,1
61,NA,White,UK,1
62,F,Chinese,Non_UK,1
62,F,Indian,Non_UK,7
62,F,Mixed-Other,Non_UK,2
62,F,Pakistani,Non_UK,4
62,F,White,UK,6
62,F,White,NA,1
62,M,Bangladeshi,Non_UK,1
62,M,Black-African,Non_UK,3
62,M,Black-African,NA,1
62,M,Indian,Non_UK,9
62,M,Indian,NA,1
62,M,Mixed-Other,Non_UK,1
62,M,Pakistani,Non_UK,2
62,M,White,Non_UK,1
62,M,White,UK,12
62,M,White,NA,2
62,M,NA,UK,1
62,M,NA,NA,1
63,F,Black-African,Non_UK,4
63,F,Black-Caribbean,Non_UK,1
63,F,Chinese,Non_UK,1
63,F,Indian,Non_UK,8
63,F,Indian,NA,3
63,F,Mixed-Other,Non_UK,2
63,F,Pakistani,Non_UK,4
63,F,White,Non_UK,1
63,F,White,UK,9
63,F,White,NA,1
63,F,NA,Non_UK,1
63,F,NA,NA,2
63,M,Bangladeshi,Non_UK,1
63,M,Black-African,Non_UK,1
63,M,Black-Caribbean,Non_UK,1
63,M,Indian,Non_UK,7
63,M,Mixed-Other,Non_UK,3
63,M,Pakistani,Non_UK,1
63,M,Pakistani,NA,1
63,M,White,UK,7
63,M,NA,NA,1
64,F,Black-African,Non_UK,2
64,F,Black-Caribbean,Non_UK,1
64,F,Indian,Non_UK,9
64,F,Mixed-Other,Non_UK,3
64,F,Pakistani,Non_UK,4
64,F,White,Non_UK,1
64,F,White,UK,7
64,F,NA,NA,3
64,M,Bangladeshi,Non_UK,2
64,M,Black-Caribbean,Non_UK,1
64,M,Black-Other,NA,1
64,M,Indian,Non_UK,10
64,M,Mixed-Other,Non_UK,5
64,M,Pakistani,Non_UK,5
64,M,Pakistani,NA,2
64,M,White,Non_UK,3
64,M,White,UK,11
64,M,White,NA,1
64,M,NA,Non_UK,1
64,M,NA,NA,2
65,F,Bangladeshi,Non_UK,1
65,F,Black-African,Non_UK,1
65,F,Black-Other,Non_UK,1
65,F,Indian,Non_UK,4
65,F,Indian,UK,1
65,F,Mixed-Other,Non_UK,1
65,F,Pakistani,Non_UK,5
65,F,White,Non_UK,1
65,F,White,UK,4
65,F,NA,NA,2
65,M,Indian,Non_UK,5
65,M,Mixed-Other,Non_UK,1
65,M,Pakistani,Non_UK,1
65,M,White,Non_UK,1
65,M,White,UK,12
66,F,Indian,Non_UK,4
66,F,Mixed-Other,Non_UK,1
66,F,Pakistani,Non_UK,3
66,F,White,Non_UK,2
66,F,White,UK,1
66,F,NA,Non_UK,1
66,F,NA,NA,2
66,M,Bangladeshi,Non_UK,1
66,M,Black-African,Non_UK,1
66,M,Black-Other,NA,1
66,M,Indian,Non_UK,7
66,M,Mixed-Other,Non_UK,2
66,M,Pakistani,Non_UK,5
66,M,White,Non_UK,2
66,M,White,UK,14
66,M,White,NA,2
66,M,NA,Non_UK,2
66,M,NA,UK,1
66,M,NA,NA,1
66,NA,White,UK,1
67,F,Black-African,Non_UK,3
67,F,Black-Caribbean,Non_UK,1
67,F,Chinese,Non_UK,1
67,F,Indian,Non_UK,11
67,F,Mixed-Other,Non_UK,4
67,F,Pakistani,Non_UK,1
67,F,Pakistani,NA,2
67,F,White,UK,4
67,F,White,NA,1
67,F,NA,NA,1
67,M,Bangladeshi,Non_UK,2
67,M,Black-African,Non_UK,1
67,M,Chinese,Non_UK,1
67,M,Indian,Non_UK,11
67,M,Mixed-Other,Non_UK,4
67,M,Pakistani,Non_UK,1
67,M,White,UK,8
67,M,NA,UK,1
68,F,Indian,Non_UK,6
68,F,Mixed-Other,Non_UK,1
68,F,Pakistani,Non_UK,2
68,F,White,Non_UK,1
68,F,White,UK,9
68,M,Black-African,Non_UK,4
68,M,Black-Caribbean,Non_UK,1
68,M,Indian,Non_UK,6
68,M,Indian,NA,2
68,M,Mixed-Other,Non_UK,1
68,M,Pakistani,Non_UK,6
68,M,Pakistani,NA,1
68,M,White,Non_UK,3
68,M,White,UK,10
68,M,White,NA,1
69,F,Black-African,Non_UK,1
69,F,Black-Caribbean,Non_UK,1
69,F,Black-Other,Non_UK,1
69,F,Indian,Non_UK,5
69,F,Mixed-Other,Non_UK,4
69,F,Pakistani,Non_UK,4
69,F,Pakistani,NA,1
69,F,White,UK,4
69,M,Black-African,Non_UK,1
69,M,Black-African,NA,1
69,M,Black-Caribbean,Non_UK,2
69,M,Chinese,Non_UK,1
69,M,Indian,Non_UK,6
69,M,Mixed-Other,Non_UK,1
69,M,Pakistani,Non_UK,3
69,M,Pakistani,NA,1
69,M,White,UK,10
69,M,White,NA,1
70,F,Bangladeshi,Non_UK,1
70,F,Indian,Non_UK,3
70,F,Pakistani,Non_UK,4
70,F,White,UK,4
70,F,NA,Non_UK,1
70,M,Bangladeshi,Non_UK,1
70,M,Black-African,Non_UK,1
70,M,Black-African,NA,1
70,M,Indian,Non_UK,3
70,M,Pakistani,Non_UK,2
70,M,White,UK,13
70,M,White,NA,1
71,F,Bangladeshi,Non_UK,1
71,F,Black-African,Non_UK,4
71,F,Black-Caribbean,Non_UK,1
71,F,Chinese,Non_UK,1
71,F,Indian,Non_UK,8
71,F,Indian,NA,1
71,F,Mixed-Other,Non_UK,2
71,F,Pakistani,Non_UK,1
71,F,White,Non_UK,1
71,F,White,UK,8
71,F,White,NA,1
71,F,NA,UK,1
71,M,Bangladeshi,Non_UK,1
71,M,Bangladeshi,UK,1
71,M,Black-Caribbean,Non_UK,1
71,M,Indian,Non_UK,6
71,M,Mixed-Other,Non_UK,1
71,M,Pakistani,Non_UK,3
71,M,White,UK,16
71,M,White,NA,1
72,F,Bangladeshi,Non_UK,3
72,F,Indian,Non_UK,4
72,F,Mixed-Other,Non_UK,2
72,F,Pakistani,Non_UK,4
72,F,Pakistani,NA,1
72,F,White,Non_UK,1
72,F,White,UK,5
72,F,NA,NA,1
72,M,Bangladeshi,Non_UK,2
72,M,Black-African,Non_UK,4
72,M,Chinese,Non_UK,1
72,M,Indian,Non_UK,5
72,M,Mixed-Other,Non_UK,3
72,M,Pakistani,Non_UK,3
72,M,White,UK,11
72,M,White,NA,1
72,M,NA,Non_UK,1
73,F,Bangladeshi,Non_UK,1
73,F,Black-African,Non_UK,2
73,F,Chinese,Non_UK,1
73,F,Indian,Non_UK,2
73,F,Indian,NA,1
73,F,Mixed-Other,Non_UK,2
73,F,Pakistani,Non_UK,4
73,F,White,Non_UK,2
73,F,White,UK,10
73,F,NA,Non_UK,1
73,M,Bangladeshi,Non_UK,1
73,M,Black-Caribbean,Non_UK,2
73,M,Indian,Non_UK,8
73,M,Mixed-Other,Non_UK,1
73,M,Pakistani,Non_UK,5
73,M,White,UK,14
73,M,White,NA,1
73,M,NA,Non_UK,1
73,NA,NA,UK,1
74,F,Bangladeshi,Non_UK,1
74,F,Black-African,Non_UK,1
74,F,Black-Caribbean,Non_UK,1
74,F,Indian,Non_UK,6
74,F,Mixed-Other,Non_UK,1
74,F,Pakistani,Non_UK,6
74,F,White,UK,8
74,F,White,NA,1
74,M,Bangladeshi,Non_UK,3
74,M,Black-African,Non_UK,1
74,M,Chinese,Non_UK,2
74,M,Indian,Non_UK,9
74,M,Pakistani,Non_UK,8
74,M,White,Non_UK,1
74,M,White,UK,11
74,M,White,NA,1
75,F,Bangladeshi,Non_UK,1
75,F,Black-African,Non_UK,2
75,F,Black-Caribbean,Non_UK,1
75,F,Mixed-Other,Non_UK,1
75,F,Pakistani,Non_UK,4
75,F,White,Non_UK,1
75,F,White,UK,7
75,F,NA,NA,1
75,M,Bangladeshi,Non_UK,1
