# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
White	0	1	0	74	38.77405372
White	0	1	0	75	70.66370331
White	0	1	0	76	58.99971342
White	0	1	0	77	62.54486454
White	0	1	0	78	50.58094053
White	0	1	0	79	39.58753317
White	0	1	0	80	23.29025989
White	0	1	0	81	17.58489356
White	0	1	0	82	20.38365793
White	0	1	0	83	16.55692309
White	0	1	0	84	18.59899812
White	0	1	0	85	69.84767809
White	0	1	0	86	85.67903691
White	0	1	0	87	98.95227535
White	0	1	0	88	70.80473343
White	0	1	0	89	229.5642439
White	0	1	0	90	0
White	0	1	0	91	0
White	0	1	0	92	0
White	0	1	0	93	0
White	0	1	0	94	0
White	0	1	0	95	0
White	0	1	0	96	0
White	0	1	0	97	0
White	0	1	0	98	0
White	0	1	0	99	0
White	0	1	0	100	0
White	0	0	1	0	114.4028646
White	0	0	1	1	114.5782171
White	0	0	1	2	106.5823637
White	0	0	1	3	114.4385899
White	0	0	1	4	85.79090095
White	0	0	1	5	120.1451434
White	0	0	1	6	98.99835721
White	0	0	1	7	110.6561767
White	0	0	1	8	124.1185383
White	0	0	1	9	190.1214942
White	0	0	1	10	181.8545417
White	0	0	1	11	191.7244047
White	0	0	1	12	191.2037014
White	0	0	1	13	195.4809682
White	0	0	1	14	439.1854248
White	0	0	1	15	101.4269583
White	0	0	1	16	124.9781795
White	0	0	1	17	168.3496926
White	0	0	1	18	244.4091548
White	0	0	1	19	350.0636028
White	0	0	1	20	358.6706157
White	0	0	1	21	416.2384099
White	0	0	1	22	430.6067969
White	0	0	1	23	424.911231
White	0	0	1	24	391.473655
White	0	0	1	25	751.4162176
White	0	0	1	26	708.2196794
White	0	0	1	27	705.5314426
White	0	0	1	28	656.7151806
White	0	0	1	29	432.3432298
White	0	0	1	30	525.6893449
White	0	0	1	31	484.8558094
White	0	0	1	32	430.1927257
White	0	0	1	33	405.2882698
White	0	0	1	34	336.1724437
White	0	0	1	35	459.7642935
White	0	0	1	36	444.0114985
White	0	0	1	37	412.4241906
White	0	0	1	38	377.921128
White	0	0	1	39	194.4373584
White	0	0	1	40	282.5516341
White	0	0	1	41	259.4547461
White	0	0	1	42	221.0354185
White	0	0	1	43	196.5217086
White	0	0	1	44	388.3692407
White	0	0	1	45	356.5312961
White	0	0	1	46	365.5197837
White	0	0	1	47	352.4159361
White	0	0	1	48	347.3921921
White	0	0	1	49	258.2596955
White	0	0	1	50	357.9828555
White	0	0	1	51	333.2758783
White	0	0	1	52	308.0556495
White	0	0	1	53	309.5548567
White	0	0	1	54	292.7318054
White	0	0	1	55	293.4929114
White	0	0	1	56	282.4888639
White	0	0	1	57	305.9245268
White	0	0	1	58	228.0421279
White	0	0	1	59	288.2953248
White	0	0	1	60	242.3883157
White	0	0	1	61	224.9635237
White	0	0	1	62	179.8565047
White	0	0	1	63	406.8586609
White	0	0	1	64	183.3120069
White	0	0	1	65	214.7766853
White	0	0	1	66	322.7027004
White	0	0	1	67	208.1414988
White	0	0	1	68	219.9436765
White	0	0	1	69	105.8550613
White	0	0	1	70	153.4619784
White	0	0	1	71	177.9002589
White	0	0	1	72	168.5306499
White	0	0	1	73	133.3238558
White	0	0	1	74	101.3599443
White	0	0	1	75	103.0311207
White	0	0	1	76	90.41493734
White	0	0	1	77	61.24139486
White	0	0	1	78	87.74202274
White	0	0	1	79	59.1920115
White	0	0	1	80	80.44914412
White	0	0	1	81	75.12057327
White	0	0	1	82	64.65986407
White	0	0	1	83	55.80030308
White	0	0	1	84	64.46242721
White	0	0	1	85	14.75324734
White	0	0	1	86	18.44369903
White	0	0	1	87	16.53088239
White	0	0	1	88	16.30615538
White	0	0	1	89	15.86784263
White	0	0	1	90	0
White	0	0	1	91	0
White	0	0	1	92	0
White	0	0	1	93	0
White	0	0	1	94	0
White	0	0	1	95	0
White	0	0	1	96	0
White	0	0	1	97	0
White	0	0	1	98	0
White	0	0	1	99	0
White	0	0	1	100	0
White	0	1	1	0	161.8849677
White	0	1	1	1	150.613266
White	0	1	1	2	135.8384796
